"id","product_category_id","name","description","image","barcode","buying_price","selling_price","quantity","created_by","updated_by","is_active","created_at","updated_at"
"173","2","Bag( Head start Black)",NULL,NULL,,"2135.00","1500.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00",NULL
"174","2","Bag( Head start Pink)",NULL,NULL,,"2135.00","1500.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00",NULL
"175","1","Hard Charts",NULL,NULL,,"23.00","50.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00",NULL
"176","5","Notebook English Enter Leaf",NULL,NULL,"EIL-0500","196.00","250.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00",NULL
"177","5","Notebook English 3 line Enter Leaf",NULL,NULL,,"196.00","250.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00",NULL
"178","5","Notebook English Broad Line Enter Leaf",NULL,NULL,,"196.00","250.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00",NULL
"179","5","Notebook English Broad 3 Line",NULL,NULL,,"196.00","250.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00",NULL
"180","5","Notebook English 4 Line",NULL,NULL,"E4L-250","297.00","250.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00","2025-04-19 22:50:56"
"181","5","Notebook English Narrow Line",NULL,NULL,,"196.00","250.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00",NULL
"182","5","Notebook Urdu Singel Line",NULL,NULL,"USL-0500","196.00","250.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00",NULL
"183","5","Notebook Small Box Math",NULL,NULL,"MSB-0124","196.00","250.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00",NULL
"184","5","Notebook Big Box Math",NULL,NULL,"MBB-0125","196.00","250.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00",NULL
"185","5","Notebook Design Math",NULL,NULL,,"128.00","200.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00",NULL
"186","5","Notebook Design English",NULL,NULL,,"128.00","200.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00",NULL
"187","5","Notebook Design Urdu",NULL,NULL,,"128.00","200.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00",NULL
"188","5","Notebook Prewriting Pad",NULL,NULL,,"130.00","200.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00",NULL
"189","5","Notebook Big Blocks Pad",NULL,NULL,"M1PAD-0129","145.00","200.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00",NULL
"190","5","Art Pad",NULL,NULL,"ART-0126","230.00","250.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00",NULL
"191","5","Home wrok Diary",NULL,NULL,"HWD-0127","168.00","200.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00",NULL
"192","5","Notebook Rigester Rough",NULL,NULL,,"297.00","300.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00",NULL
"193","5","Notebook Rigester Rough EMU Mix",NULL,NULL,,"151.00","200.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00",NULL
"194","6","Book English Pre primer M1",NULL,NULL,"9780190707644","604.50","780.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00","2025-04-11 23:39:08"
"195","6","Book New Countdown Stater M1",NULL,NULL,"9780190707583","348.75","450.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00","2025-04-11 23:40:26"
"197","7","Book English Primer (A) M2",NULL,NULL,"9780190707651","604.50","780.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00","2025-04-11 23:45:08"
"199","7","Book Countdown Primer(A) M2",NULL,NULL,"9780190707590","689.75","890.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00","2025-04-11 23:45:52"
"200","6","Book kalyan Pre Nursery M1",NULL,NULL,"9789697340378","538.63","695.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00","2025-04-11 23:41:58"
"201","7","Book Gulab Nursery M2",NULL,NULL,"9789697340385","538.63","695.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00","2025-04-11 23:46:58"
"202","7","Book Salaam  For Nursery M2",NULL,NULL,"9780199406425","348.75","450.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00","2025-04-11 23:47:37"
"203","8","Book Urdu Chambili Prep",NULL,NULL,"9780190704339","538.63","695.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00","2025-04-11 23:48:22"
"204","8","Book English Primer(B) Prep",NULL,NULL,"9780190707668","604.50","780.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00","2025-04-11 23:49:29"
"205","8","Book English Primer(B) work book Prep",NULL,NULL,"9780190708641","480.50","620.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00","2025-04-11 23:50:05"
"206","8","Book Countdown Primer(B) Prep",NULL,NULL,"9780190707606","689.75","890.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00","2025-04-11 23:50:46"
"207","9","Book Amazing world G1",NULL,NULL,"9780190707231","507.62","655.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00","2025-04-11 23:53:32"
"208","9","Book Computer Whiz G1",NULL,NULL,"9789697340682","518.70","665.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00",NULL
"209","9","Book Countdown G1",NULL,NULL,"9780190706807","771.13","995.00","0","Super Admin User",NULL,"1","2025-02-01 21:00:00","2025-04-11 23:55:28"
